guideline_id	guideline_title	organization	publication_year	source_url_or_doi	accessed_date	license_or_terms	disease_or_topic	document_type	hbp_use	notes
acc_aha_corpus	HCG refreshed AHA/ACC guideline PDF corpus	AHA/ACC	2011-2026	TBD; source URLs tracked by scraper manifests when regenerated	TBD	Publisher/society terms; requires confirmation before PDF redistribution	cardiovascular clinical practice guidelines	PDF source corpus	page-image preparation and structured extraction	22 PDFs present in data/AHA-ACC-NEW; exact per-document URLs should be regenerated from scraper manifests before release.
esc_corpus	HCG refreshed ESC guideline PDF corpus	ESC	2019-2025	TBD; source URLs tracked by scraper manifests when regenerated	TBD	Publisher/society terms; requires confirmation before PDF redistribution	cardiovascular clinical practice guidelines and consensus statements	PDF source corpus	page-image preparation and structured extraction	20 PDFs present in data/ESC-NEW; exact per-document URLs should be regenerated from scraper manifests before release.
acc_aha_2017_ventricular_arrhythmias	2017 AHA/ACC/HRS guideline for management of patients with ventricular arrhythmias and prevention of sudden cardiac death	AHA/ACC/HRS	2018	TBD	TBD	Publisher/society terms; requires confirmation	ventricular arrhythmias	PDF source	structured guideline context	Filename present in refreshed AHA/ACC corpus.
acc_aha_2019_primary_prevention	2019 ACC/AHA guideline on the primary prevention of cardiovascular disease	ACC/AHA	2019	TBD	TBD	Publisher/society terms; requires confirmation	primary prevention	PDF source	structured guideline context	Filename present in refreshed AHA/ACC corpus.
acc_aha_2022_heart_failure	2022 AHA/ACC/HFSA guideline for the management of heart failure	AHA/ACC/HFSA	2022	TBD	TBD	Publisher/society terms; requires confirmation	heart failure	PDF source	structured guideline context	Filename present in refreshed AHA/ACC corpus.
acc_aha_2022_aortic_disease	2022 ACC/AHA guideline for the diagnosis and management of aortic disease	ACC/AHA	2022	TBD	TBD	Publisher/society terms; requires confirmation	aortic disease	PDF source	structured guideline context	Filename present in refreshed AHA/ACC corpus.
acc_aha_2023_atrial_fibrillation	2023 ACC/AHA/ACCP/HRS guideline for the diagnosis and management of atrial fibrillation	ACC/AHA/ACCP/HRS	2023	TBD	TBD	Publisher/society terms; requires confirmation	atrial fibrillation	PDF source	structured guideline context	Filename present in refreshed AHA/ACC corpus.
acc_aha_2024_pad	2024 ACC/AHA guideline for the management of lower extremity peripheral artery disease	ACC/AHA	2024	TBD	TBD	Publisher/society terms; requires confirmation	peripheral artery disease	PDF source	structured guideline context	Filename present in refreshed AHA/ACC corpus.
acc_aha_2025_acute_coronary_syndromes	2025 ACC/AHA guideline for management of patients with acute coronary syndromes	ACC/AHA	2025	TBD	TBD	Publisher/society terms; requires confirmation	acute coronary syndromes	PDF source	structured guideline context	Filename present in refreshed AHA/ACC corpus.
acc_aha_2026_dyslipidemia	2026 ACC/AHA guideline on management of blood cholesterol/dyslipidemia	ACC/AHA	2026	TBD	TBD	Publisher/society terms; requires confirmation	dyslipidemia	PDF source	structured guideline context	Filename present in refreshed AHA/ACC corpus.
esc_2019_dyslipidaemias	2019 ESC/EAS Guidelines for the management of dyslipidaemias	ESC/EAS	2019	TBD	TBD	Publisher/society terms; requires confirmation	dyslipidaemias	PDF source	structured guideline context	Filename present in refreshed ESC corpus.
esc_2021_heart_failure	2021 ESC Guidelines for diagnosis and treatment of acute and chronic heart failure	ESC	2021	TBD	TBD	Publisher/society terms; requires confirmation	heart failure	PDF source	structured guideline context	Filename present in refreshed ESC corpus.
esc_2022_ventricular_arrhythmias	2022 ESC Guidelines for management of ventricular arrhythmias and prevention of sudden cardiac death	ESC	2022	TBD	TBD	Publisher/society terms; requires confirmation	ventricular arrhythmias	PDF source	structured guideline context	Filename present in refreshed ESC corpus.
esc_2023_acute_coronary_syndromes	2023 ESC Guidelines for management of acute coronary syndromes	ESC	2023	TBD	TBD	Publisher/society terms; requires confirmation	acute coronary syndromes	PDF source	structured guideline context	Filename present in refreshed ESC corpus.
esc_2024_atrial_fibrillation	2024 ESC Guidelines for management of atrial fibrillation	ESC	2024	TBD	TBD	Publisher/society terms; requires confirmation	atrial fibrillation	PDF source	structured guideline context	Filename present in refreshed ESC corpus.
esc_2025_valvular_heart_disease	2025 ESC/EACTS Guidelines for management of valvular heart disease	ESC/EACTS	2025	TBD	TBD	Publisher/society terms; requires confirmation	valvular heart disease	PDF source	structured guideline context	Filename present in refreshed ESC corpus.
